0.00013 0.00014725      (0.00012728675659336722, 0.00016721324340663297)
0.00014 0.0001555       (0.00013498522041136468, 0.00017601477958863553)
0.00015 0.000199        (0.0001757930135222496, 0.00022220698647775064)
0.00015999999999999999  0.0002125       (0.0001885189195459163, 0.00023648108045408388)
0.00017 0.0002475       (0.00022161970164807414, 0.0002733802983519261)
0.00017999999999999998  0.0002635       (0.00023679648008366512, 0.00029020351991633514)
0.00019 0.0003025       (0.00027388904066337266, 0.00033111095933662757)
0.0002  0.00034875      (0.000318030312573347, 0.00037946968742665326)
0.00021 0.00037025      (0.0003385978986593992, 0.00040190210134060105)
0.00022 0.00039425      (0.0003615885356994881, 0.00042691146430051224)
0.00023 0.0004485       (0.00041366472535544975, 0.0004833352746445506)
